Variable	MR1	MR2	MR3	Complexity	Uniqueness
practices_competency_education	0.5584324278948546			1.0089839294097849	0.6712205551273703
practices_interdisciplinary	0.5145541817835078			1.2548819648846719	0.6341080786897431
practices_advancement_mastery	0.46767738589754915			1.0118903691458077	0.779502403225302
practices_competency_framework	0.4663130019030598			1.1495203820208635	0.7181164903212383
practices_student_goals	0.4658214814117664			1.4119060661679472	0.674770024630033
practices_assessments_deeper	0.4567980599484979			1.0756602627484122	0.7827899595692801
practices_assessments_bilingual	-0.45258342851779054			2.3452656853599914	0.742005265131456
practices_student_pace	0.4478908597562824			1.3777555902797034	0.7411326940690187
practices_opportunities_mastery	0.44197568265702003			1.10058874219705	0.7763791346671365
practices_design_thinking	0.4318060213363842			1.025541235787239	0.795651002512801
practices_multi_age	0.40336699801797826			1.4961363281944176	0.7855506908597276
practices_grading_mastery	0.39012446380469723			1.397313691489866	0.7889318346221847
practices_makerspace	0.38830243888674193			1.3309160985622988	0.8451199100296901
practices_dual_language	-0.377803993127316			1.9247036223714415	0.8495079384897606
practices_learning_paths	0.36137149423338305			1.751774318249237	0.755951865426383
practices_performance_assessment	0.3500851465572452			1.798689727819396	0.7595441128005319
practices_assessments_agency	0.34991153161482313			1.057435703354779	0.8698108479215798
practices_student_projects	0.3459083146156767			1.5073561349175013	0.8019996268616423
practices_elimination_tracking	0.3438425114402793			1.6403546984265982	0.8009862623509916
practices_place_based	0.3371017823057997			1.972507530976317	0.7597828894445876
practices_accommodations	0.3109280746839836			1.875277045631612	0.8048619991730223
practices_pbl	0.30765096311898793			1.8377180258925738	0.8122143777824294
practices_flexible_facilities	0.2997009503241627			1.7924416236195546	0.828887199960786
practices_heritage_language	-0.29874377985286416			2.622829099370501	0.8749789805175963
practices_student_conferences	0.2850237569496439			1.9634908844146801	0.8384139239267172
practices_flexible_staffing	0.2683153747758358			1.9471884702635676	0.8402796328588968
practices_student_data	0.24736593429871984			2.6256281916331248	0.8224162862066694
practices_interoperability	0.2465723721807538			1.7317043320029386	0.8966215875471542
practices_flex	0.24231416165520184			2.408488077847085	0.8883131082818326
practices_peer_to_peer	0.227522143830114			2.010767373251282	0.8866824413305958
practices_flipped_classroom	0.2195023130881101			1.9845278247108336	0.890147663135085
practices_station_rotation	0.12534752983945135			2.006230118342223	0.980627877497173
practices_culturally_responsive		0.5978190797254459		1.0464909148673678	0.6526618326038407
practices_social_justice		0.5849146081186469		1.0700078815650629	0.6567694465588519
practices_restorative		0.574339659648738		1.1810165677714606	0.6384610243409661
practices_hiring_equity		0.5642711771912863		1.019047806351816	0.6938345406063009
practices_anti_racist		0.5327126796671098		1.0755917485335686	0.7234922659125884
practices_design_marginalized		0.4702956919243644		1.2198460720278497	0.7075455816337981
practices_trauma_informed		0.4657213830708154		1.0273956486765485	0.763418248548865
practices_mental_health		0.42776989790093395		1.7584906215143894	0.7748652265552863
practices_community_supports		0.41813900297350204		1.8478489280184263	0.7956870331243524
practices_physical_well_being		0.3826371445250484		1.1880032870360318	0.8246905929773014
practices_all_courses_designed_for_inclusion		0.37329848622397155		1.548020239721678	0.7715599092860532
practices_sel_integrated		0.35996760599622096		1.5910715991768896	0.8159845800658247
practices_adult_wellness		0.3461092007358726		1.5406153403263436	0.8765908503489761
practices_teachers_leaders		0.3287511398542413		2.5912116702523917	0.6963519735054938
practices_translanguaging		0.326931049374342		2.2421049214312925	0.833443229392409
practices_reallocation_resources		0.3216590296502125		1.8806759846994667	0.7944629104912867
practices_assessments_sel		0.32024645986464956		1.674270307191617	0.8358674008015454
practices_advisories		0.30656642319409344		2.3325303004728886	0.7683256930005956
practices_disaggregated_participation_data		0.30570741031219095		1.0546201151646872	0.9040294067118356
practices_co_leaders		0.3023833584787622		2.829567036369873	0.6815495208877589
practices_mentoring		0.2991385140376325		2.1854076240665186	0.7929476110427907
practices_udl		0.2444707894970372		2.1908965935119498	0.8748893398697936
practices_sel_curriculum		0.23006104716740955		1.668326292942022	0.9384500364913604
practices_mtss_academics		0.22904675010525796		1.0801352650564287	0.9500673144989477
practices_families_leaders		0.20293762430069337		1.6982885834383534	0.9257863858021508
practices_other_leaders		0.0653818308508439		1.2933593835924562	0.9957756851197858
practices_career_prep			0.6989397519262734	1.0017686074236827	0.5141568110363323
practices_assessments_career			0.6773049230231474	1.0049820740419868	0.5306208282893649
practices_industry_credentials			0.6753299746304839	1.221315958879092	0.5508200363082613
practices_extended_learning			0.5268460354809279	1.0258552162354762	0.6955942174414202
practices_community_partnerships			0.508509418392387	1.0990630090908342	0.6912072500387663
practices_early_college			0.47341349832263513	1.0647303491646478	0.7821166473746861
practices_industry_leaders			0.4077855893201106	1.0746890089558978	0.8035847658563362
practices_community_leaders			0.37630229624923306	1.4913583631972784	0.8010973066000646
practices_a_la_carte			0.3169109336704386	1.161221389452133	0.8715291866481448
practices_enriched_virtual			0.30813811610740516	1.1273838218890375	0.9041222634433066
practices_students_leaders			0.29554441228860506	2.718562091510938	0.732987451138509
practices_service_learning			0.2793961460436848	2.109215861304686	0.8192225238728902
practices_blended_learning			0.27836167740828116	2.1718523482147996	0.833014697597356
practices_tutoring			0.2449088460607715	1.6876374813946244	0.9316573870851738
practices_expanded_open_hours			0.17934826732894849	1.9168635774606164	0.9342273928432776
